source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Castle Clash: Quyết Chiến,,2019-07-16 10:43:51,"[Thông báo] Castle Clash Phiên bản Quốc Tế Tiếng Anh sẽ tạm thời được bảo trì tại Việt Nam do một số nguyên nhân khách quan. 1. Game thủ sẽ không thể tìm thấy Castle Clash Phiên bản Quốc Tế Tiếng Anh trên Google Play (CH Play) hoặc Apple store. 2. Trường hợp đã tải về trước đó có thể sẽ không thể thanh toán, nhưng vẫn có thể vào game bình thường. Bộ phận quản lý đang tiến hành khẩn trương một số thủ tục để có thể mở lại trong thời gian gần nhất. Nếu điều này mang lại sự bất tiện, vui lòng thông cảm và trân trọng cám ơn. 🛑 Lưu ý đặc biệt: Phiên bản Castle Clash Việt Nam vẫn có thể tìm kiếm trên Google Play và thanh toán bình thường. Tải ngay tại: https://bit.ly/1zeg67o --------  🛑HƯỚNG DẪN NẠP THẺ MUA NGỌC ☑️ Ví MoMo: http://bit.ly/2WW7SJ4 ☑️ SIM điện thoại: https://goo.gl/kFJD4t ☑️ Thẻ ảo AirPay: https://goo.gl/PXhU1G ☑️ Thẻ ảo BankPlus: https://goo.gl/be8LYv ☑️ Thẻ ATM: http://bit.ly/2IXJxZw ☑️ Thẻ Visa/Master: https://goo.gl/Ej2hig Castle Clash: Quyết Chiến 🛑Cộng đồng Castle Clash (VN): https://www.facebook.com/groups/348942898833321/ ‪#‎cstleclash‬‪ #‎gamechienthuat #‎gamedidong‬ #‎quyetchien #loanthanhchien",210,187,13,4,2,2,2,89 bình luậ,2746526855375203,/story.php?story_fbid=2746526855375203&id=970540989640474
Castle Clash: Quyết Chiến,,2019-07-14 09:12:00,Chuẩn bị chào đón Chủ Tế Quỷ phiên bản mới nhất ! --------  🛑Tải ngay tại: https://bit.ly/1zeg67o 🛑HƯỚNG DẪN NẠP THẺ MUA NGỌC ☑️ Ví MoMo: http://bit.ly/2WW7SJ4 ☑️ SIM điện thoại: https://goo.gl/kFJD4t ☑️ Thẻ ảo AirPay: https://goo.gl/PXhU1G ☑️ Thẻ ảo BankPlus: https://goo.gl/be8LYv ☑️ Thẻ ATM: http://bit.ly/2IXJxZw ☑️ Thẻ Visa/Master: https://goo.gl/Ej2hig Castle Clash: Quyết Chiến 🛑Cộng đồng Castle Clash (VN): https://www.facebook.com/groups/348942898833321/ ‪#‎cstleclash‬‪ #‎gamechienthuat #‎gamedidong‬ #‎quyetchien #loanthanhchien,310,264,24,8,14,,,109 bình luậ,2742673932427162,/story.php?story_fbid=2742673932427162&id=970540989640474
Castle Clash: Quyết Chiến,,2019-07-09 18:07:27,"[Đố vui nhẹ nhận ngọc] Tuổi của cha và con cộng được 66. Tuổi con ngược với tuổi cha. Hỏi tuổi của cha và con là bao nhiêu ? 10 Clasher may mắn có câu trả lời hợp lý nhất sẽ nhận được 1000 Ngọc. Chỉ cần để lại thông tin sau: 1. IGG ID:  2. Tuổi cha: ? Tuổi con: ? 3. Phiên bản:: Thời hạn cuối: 23:59, 11/7/2019 --------  🛑Tải ngay tại: https://bit.ly/1zeg67o 🛑HƯỚNG DẪN NẠP THẺ MUA NGỌC ☑️ Ví MoMo: http://bit.ly/2WW7SJ4 ☑️ SIM điện thoại: https://goo.gl/kFJD4t ☑️ Thẻ ảo AirPay: https://goo.gl/PXhU1G ☑️ Thẻ ảo BankPlus: https://goo.gl/be8LYv ☑️ Thẻ ATM: http://bit.ly/2IXJxZw ☑️ Thẻ Visa/Master: https://goo.gl/Ej2hig Castle Clash: Quyết Chiến 🛑Cộng đồng Castle Clash (VN): https://www.facebook.com/groups/348942898833321/ ‪#‎cstleclash‬‪ #‎gamechienthuat #‎gamedidong‬ #‎quyetchien #loanthanhchien",202,184,13,5,,,,267 bình luậ,2734159556611933,/story.php?story_fbid=2734159556611933&id=970540989640474
Castle Clash: Quyết Chiến,,2019-07-08 12:01:26,Mọi người đừng quên Báo Danh Nhận Thưởng Ngày Clasher nhé!  Chúc 500 ace Clasher một tuần mới may mắn! --------  🛑Tải ngay tại: https://bit.ly/1zeg67o 🛑HƯỚNG DẪN NẠP THẺ MUA NGỌC ☑️ Ví MoMo: http://bit.ly/2WW7SJ4 ☑️ SIM điện thoại: https://goo.gl/kFJD4t ☑️ Thẻ ảo AirPay: https://goo.gl/PXhU1G ☑️ Thẻ ảo BankPlus: https://goo.gl/be8LYv ☑️ Thẻ ATM: http://bit.ly/2IXJxZw ☑️ Thẻ Visa/Master: https://goo.gl/Ej2hig Castle Clash: Quyết Chiến 🛑Cộng đồng Castle Clash (VN): https://www.facebook.com/groups/348942898833321/ ‪#‎cstleclash‬‪ #‎gamechienthuat #‎gamedidong‬ #‎quyetchien #loanthanhchien,222,203,10,4,3,1,1,80 bình luậ,2731947296833159,/story.php?story_fbid=2731947296833159&id=970540989640474
Castle Clash: Quyết Chiến,,2019-07-05 18:37:57,Clasher muốn Nhân vật chính Ngày Clasher của tháng này là ai nào? 1. Dũng Sĩ Tê Giác 2. Chủ Tế Quỷ 3. Quái Tuyết --------  🛑Tải ngay tại: https://bit.ly/1zeg67o 🛑HƯỚNG DẪN NẠP THẺ MUA NGỌC ☑️ Ví MoMo: http://bit.ly/2WW7SJ4 ☑️ SIM điện thoại: https://goo.gl/kFJD4t ☑️ Thẻ ảo AirPay: https://goo.gl/PXhU1G ☑️ Thẻ ảo BankPlus: https://goo.gl/be8LYv ☑️ Thẻ ATM: http://bit.ly/2IXJxZw ☑️ Thẻ Visa/Master: https://goo.gl/Ej2hig Castle Clash: Quyết Chiến 🛑Cộng đồng Castle Clash (VN): https://www.facebook.com/groups/348942898833321/ ‪#‎cstleclash‬‪ #‎gamechienthuat #‎gamedidong‬ #‎quyetchien #loanthanhchien,325,291,20,4,4,5,1,480 bình luậ,2726662930694929,/story.php?story_fbid=2726662930694929&id=970540989640474
Castle Clash: Quyết Chiến,,2019-07-04 17:15:00,Hôm nay ai nhận được 500 Sách nào và Kỹ năng 5 nào? --------  🛑Tải ngay tại: https://bit.ly/1zeg67o 🛑HƯỚNG DẪN NẠP THẺ MUA NGỌC ☑️ Ví MoMo: http://bit.ly/2WW7SJ4 ☑️ SIM điện thoại: https://goo.gl/kFJD4t ☑️ Thẻ ảo AirPay: https://goo.gl/PXhU1G ☑️ Thẻ ảo BankPlus: https://goo.gl/be8LYv ☑️ Thẻ ATM: http://bit.ly/2IXJxZw ☑️ Thẻ Visa/Master: https://goo.gl/Ej2hig Castle Clash: Quyết Chiến 🛑Cộng đồng Castle Clash (VN): https://www.facebook.com/groups/348942898833321/ ‪#‎cstleclash‬‪ #‎gamechienthuat #‎gamedidong‬ #‎quyetchien #loanthanhchien,282,254,10,16,1,,1,122 bình luậ,2724379154256640,/story.php?story_fbid=2724379154256640&id=970540989640474
Castle Clash: Quyết Chiến,,2019-07-03 17:34:27,"(Chú ý nhìn kỹ nhé!) Theo Clasher thì thí sinh nữ tóc đỏ duy nhất trong cuộc đấu này là ai, mà có khả năng cạnh tranh với 3 đối thủ nam ? A. Xạ Thủ Tình Yêu B. Kẻ Đốn Tim C. Valentina D. Nữ Hải Tướng --------  🛑Tải ngay tại: https://bit.ly/1zeg67o 🛑HƯỚNG DẪN NẠP THẺ MUA NGỌC ☑️ Ví MoMo: http://bit.ly/2WW7SJ4 ☑️ SIM điện thoại: https://goo.gl/kFJD4t ☑️ Thẻ ảo AirPay: https://goo.gl/PXhU1G ☑️ Thẻ ảo BankPlus: https://goo.gl/be8LYv ☑️ Thẻ ATM: http://bit.ly/2IXJxZw ☑️ Thẻ Visa/Master: https://goo.gl/Ej2hig Castle Clash: Quyết Chiến 🛑Cộng đồng Castle Clash (VN): https://www.facebook.com/groups/348942898833321/ ‪#‎cstleclash‬‪ #‎gamechienthuat #‎gamedidong‬ #‎quyetchien #loanthanhchien",224,151,14,53,1,1,4,118 bình luậ,2722569494437606,/story.php?story_fbid=2722569494437606&id=970540989640474
Castle Clash: Quyết Chiến,,2019-07-02 17:58:53,"Kiếm Sĩ dùng ""Kiên Cường"" thì có ra gì không các bạn ? --------  🛑Tải ngay tại: https://bit.ly/1zeg67o 🛑HƯỚNG DẪN NẠP THẺ MUA NGỌC ☑️ Ví MoMo: http://bit.ly/2WW7SJ4 ☑️ SIM điện thoại: https://goo.gl/kFJD4t ☑️ Thẻ ảo AirPay: https://goo.gl/PXhU1G ☑️ Thẻ ảo BankPlus: https://goo.gl/be8LYv ☑️ Thẻ ATM: http://bit.ly/2IXJxZw ☑️ Thẻ Visa/Master: https://goo.gl/Ej2hig Castle Clash: Quyết Chiến 🛑Cộng đồng Castle Clash (VN): https://www.facebook.com/groups/348942898833321/ ‪#‎cstleclash‬‪ #‎gamechienthuat #‎gamedidong‬ #‎quyetchien #loanthanhchien",167,156,6,1,,4,,87 bình luậ,2720713441289878,/story.php?story_fbid=2720713441289878&id=970540989640474
Castle Clash: Quyết Chiến,,2019-07-01 10:56:23,"Xin trân trọng thông báo Castle Clash sẽ tiến hành bảo trì để nâng cấp hệ thống. Thời gian dự kiến: 13:00 16:00, ngày hôm nay, 1/7/2019. Clasher vui lòng lưu ý sắp xếp. --------  🛑Tải ngay tại: https://bit.ly/1zeg67o 🛑HƯỚNG DẪN NẠP THẺ MUA NGỌC ☑️ Ví MoMo: http://bit.ly/2WW7SJ4 ☑️ SIM điện thoại: https://goo.gl/kFJD4t ☑️ Thẻ ảo AirPay: https://goo.gl/PXhU1G ☑️ Thẻ ảo BankPlus: https://goo.gl/be8LYv ☑️ Thẻ ATM: http://bit.ly/2IXJxZw ☑️ Thẻ Visa/Master: https://goo.gl/Ej2hig Castle Clash: Quyết Chiến 🛑Cộng đồng Castle Clash (VN): https://www.facebook.com/groups/348942898833321/ ‪#‎cstleclash‬‪ #‎gamechienthuat #‎gamedidong‬ #‎quyetchien #loanthanhchien",160,151,1,1,1,6,,73 bình luậ,2718292811531941,/story.php?story_fbid=2718292811531941&id=970540989640474
Castle Clash: Quyết Chiến,,2019-07-01 09:07:00,Ra mắt tính năng Lễ Bái - Điện Vinh Dự! Hôm nay bạn đã nhận quà chưa nào? Xem ngay tại: http://cc.vn.forum.igg.com/topic?fcid=3&ctid=36933 --------  🛑Tải ngay tại: https://bit.ly/1zeg67o 🛑HƯỚNG DẪN NẠP THẺ MUA NGỌC ☑️ Ví MoMo: http://bit.ly/2WW7SJ4 ☑️ SIM điện thoại: https://goo.gl/kFJD4t ☑️ Thẻ ảo AirPay: https://goo.gl/PXhU1G ☑️ Thẻ ảo BankPlus: https://goo.gl/be8LYv ☑️ Thẻ ATM: http://bit.ly/2IXJxZw ☑️ Thẻ Visa/Master: https://goo.gl/Ej2hig Castle Clash: Quyết Chiến 🛑Cộng đồng Castle Clash (VN): https://www.facebook.com/groups/348942898833321/ ‪#‎cstleclash‬‪ #‎gamechienthuat #‎gamedidong‬ #‎quyetchien #loanthanhchien,109,104,1,2,2,,,40 bình luậ,2716226891738533,/story.php?story_fbid=2716226891738533&id=970540989640474
Castle Clash: Quyết Chiến,,2019-06-30 09:03:49,Hàng về! Mọi người vào nhận ngay và luôn nào! 😍 --------  🛑Tải ngay tại: https://bit.ly/1zeg67o 🛑HƯỚNG DẪN NẠP THẺ MUA NGỌC ☑️ Ví MoMo: http://bit.ly/2WW7SJ4 ☑️ SIM điện thoại: https://goo.gl/kFJD4t ☑️ Thẻ ảo AirPay: https://goo.gl/PXhU1G ☑️ Thẻ ảo BankPlus: https://goo.gl/be8LYv ☑️ Thẻ ATM: http://bit.ly/2IXJxZw ☑️ Thẻ Visa/Master: https://goo.gl/Ej2hig Castle Clash: Quyết Chiến 🛑Cộng đồng Castle Clash (VN): https://www.facebook.com/groups/348942898833321/ ‪#‎cstleclash‬‪ #‎gamechienthuat #‎gamedidong‬ #‎quyetchien #loanthanhchien,229,208,12,7,,2,,94 bình luậ,2716222071739015,/story.php?story_fbid=2716222071739015&id=970540989640474
Castle Clash: Quyết Chiến,,2019-06-29 12:28:40,Rồng Tham Ăn đang hỗ trợ khá tốt cho Pháp sư vũ trụ. Clasher nào đang có bộ đôi Pet Rồng nào ? --------  🛑Tải ngay tại: https://bit.ly/1zeg67o 🛑HƯỚNG DẪN NẠP THẺ MUA NGỌC ☑️ Ví MoMo: http://bit.ly/2WW7SJ4 ☑️ SIM điện thoại: https://goo.gl/kFJD4t ☑️ Thẻ ảo AirPay: https://goo.gl/PXhU1G ☑️ Thẻ ảo BankPlus: https://goo.gl/be8LYv ☑️ Thẻ ATM: http://bit.ly/2IXJxZw ☑️ Thẻ Visa/Master: https://goo.gl/Ej2hig Castle Clash: Quyết Chiến 🛑Cộng đồng Castle Clash (VN): https://www.facebook.com/groups/348942898833321/ ‪#‎cstleclash‬‪ #‎gamechienthuat #‎gamedidong‬ #‎quyetchien #loanthanhchien,131,120,6,3,2,,,47 bình luậ,2714647728563116,/story.php?story_fbid=2714647728563116&id=970540989640474
Castle Clash: Quyết Chiến,,2019-06-27 18:11:30,Chúc mừng những Clasher đã Cường Hóa thành công lên Đá Tinh cấp 9 ! --------  🛑Tải ngay tại: https://bit.ly/1zeg67o 🛑HƯỚNG DẪN NẠP THẺ MUA NGỌC ☑️ Ví MoMo: http://bit.ly/2WW7SJ4 ☑️ SIM điện thoại: https://goo.gl/kFJD4t ☑️ Thẻ ảo AirPay: https://goo.gl/PXhU1G ☑️ Thẻ ảo BankPlus: https://goo.gl/be8LYv ☑️ Thẻ ATM: http://bit.ly/2IXJxZw ☑️ Thẻ Visa/Master: https://goo.gl/Ej2hig Castle Clash: Quyết Chiến 🛑Cộng đồng Castle Clash (VN): https://www.facebook.com/groups/348942898833321/ ‪#‎cstleclash‬‪ #‎gamechienthuat #‎gamedidong‬ #‎quyetchien #loanthanhchien,195,177,10,2,4,2,,115 bình luậ,2711338055560750,/story.php?story_fbid=2711338055560750&id=970540989640474
Castle Clash: Quyết Chiến,,2019-06-26 10:00:32,[Thử Thách Đảo Nổi] Có Clasher nào đã có Rồng chưa nào? --------  🛑Tải ngay tại: https://bit.ly/1zeg67o 🛑HƯỚNG DẪN NẠP THẺ MUA NGỌC ☑️ Ví MoMo: http://bit.ly/2WW7SJ4 ☑️ SIM điện thoại: https://goo.gl/kFJD4t ☑️ Thẻ ảo AirPay: https://goo.gl/PXhU1G ☑️ Thẻ ảo BankPlus: https://goo.gl/be8LYv ☑️ Thẻ ATM: http://bit.ly/2IXJxZw ☑️ Thẻ Visa/Master: https://goo.gl/Ej2hig Castle Clash: Quyết Chiến 🛑Cộng đồng Castle Clash (VN): https://www.facebook.com/groups/348942898833321/ ‪#‎cstleclash‬‪ #‎gamechienthuat #‎gamedidong‬ #‎quyetchien #loanthanhchien,180,158,13,2,,7,,112 bình luậ,2708782705816285,/story.php?story_fbid=2708782705816285&id=970540989640474
Castle Clash: Quyết Chiến,,2019-06-26 09:28:35,,169,159,6,4,,,,22 bình luậ,2708733482487874,/CastleClashVietnamIGG/photos/a.970559402971966/2708733482487874
Castle Clash: Quyết Chiến,,2019-06-25 10:08:51,"Xin được thông báo, Castle Clash Quyết Chiến sẽ tiến hành bảo trì để cập nhật phiên bản mới nhất vào 13:00 -16:00, chiều hôm nay, 25/6/2019. Mọi người vui lòng lưu ý sắp xếp nhé! Dự kiến cập nhật mới: 1. Điện Vinh Dự 2. Giao diện sinh nhật 3. Đá Tinh Lv9 4. Tướng mới: Rồng Bão Táp 5. Skin Tướng mới (Rồng Bão Táp và Nữ Thiện Xạ) 6. Thú mới: Rồng Tham Ăn 7. Tối ưu Lãnh Địa Liên Minh. 8. Góp Quỹ Liên Minh: Góp Ấn tối đa mỗi ngày tăng đến 20,000. 9. Thách đấu Hộ Vệ: Điều chỉnh phần thưởng xếp hạng. --------  🛑Tải ngay tại: https://bit.ly/1zeg67o 🛑HƯỚNG DẪN NẠP THẺ MUA NGỌC ☑️ Ví MoMo: http://bit.ly/2WW7SJ4 ☑️ SIM điện thoại: https://goo.gl/kFJD4t ☑️ Thẻ ảo AirPay: https://goo.gl/PXhU1G ☑️ Thẻ ảo BankPlus: https://goo.gl/be8LYv ☑️ Thẻ ATM: http://bit.ly/2IXJxZw ☑️ Thẻ Visa/Master: https://goo.gl/Ej2hig Castle Clash: Quyết Chiến 🛑Cộng đồng Castle Clash (VN): https://www.facebook.com/groups/348942898833321/ ‪#‎cstleclash‬‪ #‎gamechienthuat #‎gamedidong‬ #‎quyetchien #loanthanhchien",195,177,13,4,,1,,89 bình luậ,2706844202676802,/story.php?story_fbid=2706844202676802&id=970540989640474
Castle Clash: Quyết Chiến,,2019-06-23 09:00:00,"Chờ đón cập nhật mới RỒNG BÃO TÁP - Gây thiệt hại thực tế bằng X% công thường lên X địch ngẫu nhiên và hồi máu bằng X% thiệt hại gây ra sau mỗi X giây trong X giây. (Hiệu ứng Giảm thiệt hại vô hiệu.) - Triệu hồi một cơn lốc khi tấn công. Cơn lốc gây X% thiệt hại công thường đồng thời làm Tê liệt các mục tiêu trên đường đi trong X giây. - Tướng chỉ nhận tối đa mỗi đòn X thiệt hại và miễn dịch với các hiệu ứng Đóng băng, Hóa đá, Câm lặng, Giảm năng lượng và các điều kiện Tai họa.) --------  🛑Tải ngay tại: https://bit.ly/1zeg67o 🛑HƯỚNG DẪN NẠP THẺ MUA NGỌC ☑️ Ví MoMo: http://bit.ly/2WW7SJ4 ☑️ SIM điện thoại: https://goo.gl/kFJD4t ☑️ Thẻ ảo AirPay: https://goo.gl/PXhU1G ☑️ Thẻ ảo BankPlus: https://goo.gl/be8LYv ☑️ Thẻ ATM: http://bit.ly/2IXJxZw ☑️ Thẻ Visa/Master: https://goo.gl/Ej2hig Castle Clash: Quyết Chiến 🛑Cộng đồng Castle Clash (VN): https://www.facebook.com/groups/348942898833321/ ‪#‎cstleclash‬‪ #‎gamechienthuat #‎gamedidong‬ #‎quyetchien #loanthanhchien",305,265,18,6,13,2,1,143 bình luậ,2701950243166198,/story.php?story_fbid=2701950243166198&id=970540989640474
